,TRGT_YEAR,GHG_EMS
1045,2017,63282
1046,2017,4025829
1047,2017,16562
1048,2017,27776
1049,2017,26163
1050,2017,17708
1051,2017,27702
1052,2017,2212
1053,2017,29572
1054,2017,16263
1055,2017,28620
1056,2017,154570
1057,2017,24788
1058,2017,29362
1059,2017,52270
1060,2017,13763
1061,2017,45770
1062,2017,99128
1063,2017,40694
1064,2017,29562
1065,2017,102375
1066,2017,61295
1067,2017,21917
1068,2017,18284
1069,2017,54998
1070,2017,14699
1071,2017,257073
1072,2017,12386
1073,2017,16802
1074,2017,205084
1075,2017,58090
1076,2017,227893
1077,2017,27027
1078,2017,19489
1079,2017,42665
1080,2017,27332
1081,2017,10476
1082,2017,31335
1083,2017,21009
1084,2017,32154
1085,2017,16899
1086,2017,29272
1087,2017,74118
1088,2017,53301
1089,2017,19441
1090,2017,19588
1091,2017,102365
1092,2017,74100
1093,2017,20766
1094,2017,94101
1095,2017,1106189
1096,2017,127009
1097,2017,145458
1098,2017,106472
1099,2017,150853
1100,2017,20670
1101,2017,27723
1102,2017,22048
1103,2017,23523
1104,2017,31356
1105,2017,14088
1106,2017,14634
1107,2017,48201
1108,2017,202671
1109,2017,363919
1110,2017,109007
1111,2017,1245993
1112,2017,29492
1113,2017,24046
1114,2017,18348
1115,2017,20281
1116,2017,186013
1117,2017,21130
1118,2017,1794784
1119,2017,19839
1120,2017,16814
1121,2017,7710339
1122,2017,20919
1123,2017,267828
1124,2017,23461
1125,2017,186008
1126,2017,1712535
1127,2017,60916
1128,2017,17832
1129,2017,18798
1130,2017,21985
1131,2017,39971
1132,2017,17754
1133,2017,21927
1134,2017,37110
1135,2017,16341
1136,2017,19365
1137,2017,65280
1138,2017,27913
1139,2017,35340
1140,2017,103132
1141,2017,25884
1142,2017,50745
1143,2017,100379
1144,2017,29909
1145,2017,22037
1146,2017,101572
1147,2017,30307
1148,2017,3481600
1149,2017,23128
1150,2017,125547
1151,2017,17040
1152,2017,253552
1153,2017,54390
1154,2017,66517
1155,2017,59693
1156,2017,20674
1157,2017,1011296
1158,2017,18128
1159,2017,89060
1160,2017,136985
1161,2017,233696
1162,2017,14234
1163,2017,67636
1164,2017,140383
1165,2017,18352
1166,2017,19200
1167,2017,21594
1168,2017,21371
1169,2017,113588
1170,2017,2724232
1171,2017,44354
1172,2017,67836
1173,2017,23834
1174,2017,21216
1175,2017,180413
1176,2017,90832
1177,2017,3335098
1178,2017,299495
1179,2017,312988
1180,2017,892994
1181,2017,760614
1182,2017,75957
1183,2017,734212
1184,2017,175469
1185,2017,424640
1186,2017,787485
1187,2017,156852
1188,2017,99064
